Тип_наблюдения;ФИО;Категория_наблюдения;Организация;Какие_возможные_последствия_наблюдения_или_преимущества_хорошей_практики_/_вашего_предложения?;Какие_меры_вы_предприняли?;Производилась_ли_остановка_работ?;Какие_действия_вы_предприняли_для_поощрения_хорошей_практики?;Обсудили_ли_вы_небезопасное_действие_/_небезопасное_поведение_с_наблюдаемым?;Сообщили_ли_ответственному_лицу?;Кому_вы_сообщили_о_наблюдении?_(Обязательно_к_заполнению_для_небезопасного_действия/_небезопасного_поведения/опасного_фактора_/_опасного_случая);Было_ли_небезопасное_условие_/_поведение_исправлено_и_опасность_устранена?;Дата_Время
Опасный фактор;Фиалков Мелисс Нарциссович;Вывешивание плакатов;"ТОО ""Алый Тюльпан""";Отсутствие плаката категорий безопасности на № 7520;Предупредил мастера вывесить плакат категорий безопасности;False;Предупредил остальных мастеров;True;True;отвественному лицу мастеру;True;2025-04-15 20:00:00.000
Хорошая практика;Астров Виолан Камелиевич;Наряд-допуск / Оценка риска, Целостность объекта / Оборудования;"ТОО ""Белая Роза""";Провел наблюдение. Предложении нет;Доложил начальнику участка;False;Доложил начальнику участка;True;True;Доложил начальнику участка;True;2025-11-04 22:35:00.000
Небезопасное условие ;Орхидеев Лаврентий Георгинович;Электрооборудование;"ТОО ""Золотая Лилия""";КТП қондырғысы жер тізбегіне қосылмаған.;Шеберге хабарланды.;False;Ешқандай.;True;True;Шеберге хабарланды.;True;2025-03-20 15:30:00.000
Небезопасное поведение;Гортензиев Нарцисс Георгинович;Машины и оборудование;"ТОО ""Лавандовый Рассвет""";Жұмыс жасау барысында, бригада жұмыс алаңшасында төселгент төсеніштері талапқа сай болуын қадағалау және қауіпсіздік шараларын  қатты қадағалау тұрақты.;Келеңсіз жағдай болдырмау мақсатында, алдын ала қауіпсіздік шарасын орындауға ұсыныс берілді;False;Нет данных;True;True;Бриагада шеберіне;True;2025-05-08 19:46:00.000
Небезопасное поведение;Магнолиев Мелисс Мелиссович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Синяя Орхидея""";Тексеру барысында көтергіш агрегат машинисті монтаж жұмысын каскасыз жүргені анықталды.;Түсіндіру жұмыстары жүргізілді;False;Нет данных;True;True;Бригада шеберіне;True;2025-01-21 21:54:00.000
Небезопасное поведение;Розанов Вербен Вербенович;Вождение, Наряд-допуск / Оценка риска, Поддержание чистоты и порядка;"ТОО ""Пурпурный Ирис""";Тексеру кезінде жұмысшы көтергіш агрегаттың алдыңғы домкраты тірелмеген. Көтергіш агрегаттың жұмыс алаңшасында бөгде заттар жатыр.;Сол арада жұмыс басында машиниске бөгде заттарды алып тастауға бұйрық бердім. Домкратты түсіртіп тіреттім. Жұмысшыға түсіндірме жұмыстарын жүргіздім.;False;Нет данных;True;True;Бригада шеберіне;True;2025-02-26 16:57:00.000
Опасный фактор;Камелиев Вербен Орхидеевич;Проскальзывание / Спотыкание / Падение, Санитарно-бытовые помещения;"ТОО ""Нежная Фиалка""";При входе в общий туалет на лестничной площадке имеется утрамбованный снег что может привести к проскальзыванию и падению;Сообщил мастеру участка;False;Проведена беседа с работниками;True;True;Инженеру ТБ;True;2025-03-03 15:27:00.000
Небезопасное поведение;Нарциссов Нарцисс Флорович;Охрана окружающей среды, Машины и оборудование;"ТОО ""Солнечный Подсолнух""";Тексеру кезінде жұмысшы жұмыс кезінде техниканың белгіленбеген жерінен көтерілді.;Сол арада жұмысшыға техниканың жоғарғы кабинасына арнайы шығатын сатымен көтеріліп жұмыс жасауды ескерттім.;False;Нет данных;True;True;Бригада шеберіне;True;2025-05-08 20:50:00.000
Небезопасное поведение;Виолетов Лотос Лавандович;Охрана окружающей среды;"ТОО ""Весенний Пион""";Машинист жүргізуші белгіленген скважинаға наряд допускісіз көшіп барғаны анықталды.;Түсіндірме жұмыстары жүргізілді.;False;Нет данных;True;True;Бригада шеберіне;True;2025-01-08 16:57:00.000
Небезопасное поведение;Вербенов Орхидей Пионович;Поддержание чистоты и порядка;"ТОО ""Горная Эдельвейс""";камаз АТЗ тексеру кезінде мемлекеттік белгісі тазалығы өте лас. ;Жұмыс барысында түсіндірме жұмыстары жүргізілді.;False;Нет данных;True;True;автотізбек бастығына;True;2025-02-28 20:01:00.000
Опасный случай;Фиалков Тюльпан Нарциссович;Взрыво- и пожароопасность;"ТОО ""Дикая Ромашка""";При обходе территории было выявлено факт нарушения использование открытого огня (зажигалка) в помещения для курения.;Было изъято зажигательное устройство, взято объяснительная записка, проведено разъяснительная беседа. ;True;Было проведено объяснительно-разъяснительная беседа с нарушителями о выявленных нарушениях.;True;True;Ответственному лицу подрядных организации ;True;2025-04-04 20:45:00.000
Опасный случай;Вербенов Сакур Гортензиевич;Целостность объекта / Оборудования;"ТОО ""Серебряный Лотос""";Пропуск по пару;Замена запорной арматуры;False;нет;True;True;Начальнику ПСГ;True;2025-03-09 14:00:00.000
Небезопасное действие;Камелиев Азалий Розанович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Ясный Василёк""";Работа по изоляции трубопровода без защитных очков;Приостановил работы до устранения замечании. ;True;Провел разъяснительную беседу с работником согласно инструкции ОТБ-012  ;True;True;Начальнику участка Курбанкулову К.;True;2025-04-14 16:15:00.000
Предложение (инициатива);Лавандов Орхидей Георгинович;Поддержание чистоты и порядка;"ТОО ""Алая Гвоздика""";№2 Әкімшілік ғимаратының жанында демалу орынның айналасына шөп өскен;Учаске бастығына хабарланды;False;Демалу орнының айналасы шөптен тазартылды;True;True;Учаске бастығына хабарланды;True;2025-05-20 20:20:00.000
Небезопасное условие ;Георгинов Вербен Сакурович;Поддержание чистоты и порядка, Транспортировка;"ТОО ""Сакура Плюс""";Тексеру кезінде бригада басында жұмыс жасап тұрған көтергіш агрегат лас. ;Сол арада жұмыс басында машиниске көтергіш агрегатты майдан жуып тазалауды тапсырдым.;False;Нет данных;True;True;Бригада шеберіне;True;2025-05-21 20:55:00.000
Небезопасное действие;Флоров Азалий Гортензиевич;Поддержание чистоты и порядка;"ТОО ""Южная Магнолия""";Тексеру кезінде көтергіш агрегаттардың тазалығы өте лас. Көтергіш агрегаттардың тазалығы сақталып талапқа сай жұмыс жасау керек.;Бригада басында бригада шеберіне және көтергіш машинистерге түсіндірме жұмыстары жүргіздім.;False;Нет данных;True;True;Бригада шеберіне;True;2025-01-06 14:59:00.000
Небезопасное поведение;Астров Мелисс Мелиссович;Машины и оборудование;"ТОО ""Таёжный Жасмин""";Жұмыс жасап тұрған бригада, жұмыс жасау барысында мәдениет үйшігі мен жұмыс алаңшасы арасындағы жұру жолдарын талапқа сай реттеу.;Келеңсіз жағдай болдырмау мақсатында, алдын ала қауіпсіздік шарасын орындауға ұсыныс берілді.;False;Нет данных;True;True;Бригада шеберіне;True;2025-02-07 15:04:00.000
Небезопасное поведение;Маргаритов Лаврентий Лилиевич;Поддержание чистоты и порядка, Охрана окружающей среды;"ТОО ""Полевая Незабудка""";Тексеру кезінде көтергіш агрегаттың тазалығы өте лас. Көтергіш агрегаттың тазалығы сақталып сай жұмыс жасау керек.;Бригада басында бригада шеберіне ескертіп.;False;Нет данных;True;True;Бригада шеберіне;True;2025-02-05 16:26:00.000
Небезопасное действие;Лилиев Хризантем Розанович;Выполнение требований инструкций;"ТОО ""Янтарная Хризантема""";Қауіпсіздікті сақтау.;Нұсқау талаптарын сақтау талап етілді;True;Қызметкерлерге түсіндіру жұмыстары жүргізілді.Қосымша нұсқама жүргізілді;True;True;Жауптыларға хабарланды.;True;2025-04-29 15:29:00.000
Предложение (инициатива);Камелиев Гортензий Астрович;Рабочее место / Эргономика;"ТОО ""Тихая Камелия""";Замечаний нет.Условия по Тб соблюдается.;Доложил руководству.;False;Поблагодарил работников.;True;True;Руководству.;True;2025-08-11 11:50:00.000
Небезопасное поведение;Хризантемов Орхидей Лилиевич;Машины и оборудование, Поддержание чистоты и порядка;"ТОО ""Ночная Лаванда""";Жұмыс жасау барысында бригада жұмыс алаңшасы бөгде заттар болмау керек, талапқа сай болу керектігін қадағалау. Жқмыс алаңшасындағы қажетсіз қондырғы мен құралдарды алып тастау;Келеңсіз жағдай болдырмау мақсатында алдын ала қауіпсізк шарасын орындауға ұсыныс берілді.;False;Нет данных;True;True;Бригада шеберіне;True;2025-04-08 15:32:00.000
Хорошая практика;Фиалков Гортензий Тюльпанович;Трубопроводы / Подземные коммуникации;"ТОО ""Лесной Ландыш""";Провёл наблюдение,  предложении нет. ;Нет;False;Предложение нет. ;False;False;Опасного случай не было. ;False;2025-11-04 23:26:00.000
Небезопасное поведение;Флоров Гортензий Азалиевич;СИЗ / Средства по обеспечению безопасности;"ТОО ""Звёздный Амариллис""";Тексеру барысында АПРС-40 жүргізуші машинист қолғапсыз жүргенін көрдім;Түсіндірме жұмыстары жүргіздім;False;Нет данных;True;True;Бригада шеберіне;True;2025-05-22 19:58:00.000
Небезопасное поведение;Жасминов Ирис Жасминович;Машины и оборудование, Поддержание чистоты и порядка;"ТОО ""Каспийский Тюльпан""";Тексеру кезінде жұмысшы басты қорғау каскасын кимеген. Көтергіш агрегаттың жұмыс алаңшасында бөгде заттар жатыр.;Сол арада жұмыс басында машинистке бөгде заттарды алып тастауға бұйрық бердім.;False;Нет данных;True;True;Бригада шеберіне;True;2025-01-22 14:02:00.000
Опасный фактор;Азалиев Маргарит Тюльпанович;Взрыво- и пожароопасность;"ТОО ""Степная Роза""";Жаңа 2000 м3 қазан монтаж жұмыстары кезінде дәнекерлеу жұмысы кезінде пропан мен кислород баллоны ара қашықтығы талапқа сай қойылмаған.;жұмыс тоқталып, ара қашықтық талапқа сай етіп орналастырылды;True;Нет данных;True;True;Участок басшысына ескертілді;True;2025-10-28 20:22:00.000
Небезопасное условие ;Вербенов Лилий Вербенович;Машины и оборудование;"ТОО ""Голубая Гортензия""";жұмыс жасау  барысында, бригада жұмыс алаңшасында төселген төсеніштер талапқа сай болуын қадағалау.;Түсіндірме жұмыстары жүргізілді;False;Нет данных;True;True;Бригада шеберіне;True;2025-04-22 16:37:00.000
Небезопасное действие;Лавандов Мелисс Пионович;Поддержание чистоты и порядка;"ТОО ""Рубиновый Мак""";Тексеріс уақытында АПРС-40 кілт қашақ шашылып жатұаны анықталды ;Түсіндірме жұмыстары жүргізілді;False;Нет данных;True;True;Бригада шеберіне;True;2025-05-05 16:00:00.000
Небезопасное поведение;Лавандов Сакур Фиалкович;Машины и оборудование;"ТОО ""Северный Нарцисс""";Тексеріс кезіндеь көтергіш агрегаттың алдында кілттері шашылып жатыр.;Бригада басында машинист ке түсіндіру жұмысы жүргізілді.;False;Нет данных;True;True;Бригада шеберіне;True;2025-01-20 21:10:00.000
Небезопасное действие;Нарциссов Лилий Орхидеевич;СИЗ / Средства по обеспечению безопасности;"ТОО ""Имперская Орхидея""";Тексеріс уақытынды жүргізуші қолғапсыз жүргені байқалды;Түсіндірме жұмыстары жұргізілді;False;Нет данных;True;True;Бригада шеберіне;True;2025-04-09 21:40:00.000
Небезопасное поведение;Сакуров Лотос Жасминович;Поддержание чистоты и порядка;"ТОО ""Весенний Крокус""";ГСМ аймақта жабай шөптер өсіп, өрт  қауіпі тудырып тұр;ескертілді;False;Нет данных;True;True;Инженер ГСМ;True;2025-05-23 20:03:00.000
Небезопасное поведение;Сакуров Гортензий Гортензиевич;Вождение;"ТОО ""Изумрудный Папоротник""";Камаз АТЗ өндірістік аймақта тексеру барысында қауіпсіздік белдігін тақпаған.;Тоқтатынп түсіндіру жұмыстары жүргізілді.;False;Нет данных;True;True;ЖҚ аға инженеріне;True;2025-02-03 15:28:00.000
Опасный случай;Тюльпанов Сакур Магнолиевич;Электрооборудование;"ТОО ""Белоснежная Азалия""";№1 АҚБ аумағында жерге қосу (заземление) үзілген;Учаске бастығы А.Қорғанбаевқа хабарланды;True;жерге қосу (заземление) қалпына келтірілді;True;True;Учаске бастығы А.Қорғанбаевқа хабарланды;True;2025-05-23 20:31:00.000
Небезопасное поведение;Нарциссов Лаврентий Азалиевич;Рабочее место / Эргономика, Машины и оборудование;"ТОО ""Алтын Бәйшешек""";Нет данных;Тұсіндірме жүмыстары жұргізілді;False;Нет данных;True;True;Бригада шеберіне;True;2025-04-24 19:42:00.000
Небезопасное поведение;Маргаритов Магнолий Пионович;Поддержание чистоты и порядка;"ТОО ""Көктем Гүлі""";№5 автотізбек кезекші АПРС-40 тұрған жерге май төгілген.;Ескертілді;False;Нет данных;True;True;автотізбек бастығына;True;2025-05-08 20:06:00.000
Небезопасное поведение;Лотосов Азалий Жасминович;Вождение, Монтажные и грузоподъемные работы;"ТОО ""Жемчужная Фрезия""";Тексеріс кезінде көтергіш агрегаттың алдыңғы тіреуіш домкраты тірелмеген. ;Бригада басында шеберіне және көтергіш машинист ерге жұмыстары жүргізілді.;False;Нет данных;True;True;Бригада шеберіне;True;2025-01-05 21:13:00.000
Небезопасное действие;Жасминов Вербен Нарциссович;Наряд-допуск / Оценка риска;"ТОО ""Лазурный Дельфиниум""";Жұмыс жасау барысында бригада мүшелерімен нұсқама журналы талапқа сай болу керектігін қадағлау.;Нұсқамалармен тәжірбиелерді қолдануға кеңес берілді;False;Нет данных;True;True;Бригада шеберіне;True;2025-02-18 15:11:00.000
Небезопасное действие;Маргаритов Виолан Маргаритович;Выполнение требований инструкций;"ТОО ""Розовый Флокс""";Қауіпсіздікті сақтау.;Нұсқау талаптарын сақтау талап етілді;True;Қызметкерлерге түсіндіру жұмыстары жүргізілді.Қосымша нұсқама жүргізілді;True;True;Жауптыларға хабарланды.;True;2025-04-29 15:29:00.000
Опасный фактор;Хризантемов Астрон Георгинович;Электрооборудование;"ТОО ""Сафлоровый Рассвет""";Барсенгир  на матчте не горит освещение ;Сообшили зам.начальник станцию;False;Нет данных;True;True;Сообшили зам начальнику участка  Данияров А;True;2025-06-18 19:20:00.000
Небезопасное поведение;Маргаритов Сакур Георгинович;Взрыво- и пожароопасность;"ТОО ""Медовая Астра""";оператор цеха №1 использовал сотовое устройство на рабочем месте ;приостановил работу до устранения нарушения;True;провел разъяснительную беседу ;True;True;начальнику цеха №1;True;2025-06-05 15:10:00.000
Небезопасное условие ;Лавандов Лаврентий Орхидеевич;Прочее;"ТОО ""Тайный Бутон""";fr;fr;True;fr;True;True;fr;True;2025-04-10 19:59:00.000
Небезопасное поведение;Тюльпанов Лилий Розанович;Машины и оборудование;"ТОО ""Цветущий Миндаль""";Тексеру кезінде автокөлік КАМАз АТЗ артқы жарық шамы жанбайды.;сол арада жқмыс басында жүргізушіге ақауын жөндеугет тапсырма бердім.;False;Нет данных;True;False;ЖҚ аға инженер;True;2025-05-23 20:08:00.000
Небезопасное действие;Жасминов Астрон Азалиевич;Машины и оборудование;"ТОО ""Полевой Клевер""";АПРС-40 көтергіш агрегаты мұнарасы лас.;Түчсіндірме жұмыстары жүргізілді.;False;Нет данных;True;True;БТЖ;True;2025-01-15 16:16:00.000
Небезопасное действие;Гортензиев Вербен Лавандович;Поддержание чистоты и порядка;"ТОО ""Огненная Георгина""";Жұмыс барысында бригада жұмыс алаңында штанга дұрыстап жиналмаған.;Нұсқаулықпен ережеге сайкес жұмыс жасауға ұсыныс берілді;False;Нет данных;True;True;Бригада шеберіне;True;2025-02-21 16:14:00.000
Небезопасное условие ;Орхидеев Нарцисс Флорович;Охрана окружающей среды;"ТОО ""Сияющая Примула""";оперативный техникалар тұратын орны (навес) май қалдықтары төгілген.;автотізбек бастығына ескертілді;False;Нет данных;True;True;автотізбек бастығына ескертілді;True;2025-02-03 16:30:00.000
Небезопасное поведение;Ирисов Розан Розанович;Работы на высоте / Строительные леса;"ТОО ""Гармония Лилий""";Қауіпсіздікті сақтау.;Жөндеу, дәнекерлеу жұмыстар жүргізілді.;True;Толық жұмыстары жүргізілді, кемшілік дереу жойылды.;True;True;Қондырғы бастығына айтылды.;True;2025-06-18 14:49:00.000
Небезопасное действие;Лилиев Виолан Флорович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Шёлковый Пион""";Тексеру кезінде арнайы киім кимеген;Арнайы киім киуге тапсырма;False;Нет данных;True;True;Бас механик;True;2025-05-26 21:11:00.000
Небезопасное поведение;Лавандов Жасмин Камелиевич;Машины и оборудование;"ТОО ""Японская Сакура""";АПРС-40 көтергіш агрегаты артқы бұрылыс шамдары жанбайды.;Түсіндіру жұмыстары жүргізілді;False;Нет данных;True;True;ЖҚ аға инженеріне;True;2025-01-25 21:17:00.000
Небезопасное действие;Лавандов Пион Астрович;Переносное оборудование / Ручные инструменты;"ТОО ""Лунная Орхидея""";Жұмыс барысында бригада жұмыс алаңында құбырды дұрыстап жинауға ұсыныс;Нұсқаулықпен ереже сәйкес жұмыс жасауға ұсыныс берілді.;False;Нет данных;True;True;Бригада шеберіне;True;2025-06-05 15:16:00.000
Хорошая практика;Фиалков Ирис Виолетович;Целостность объекта / Оборудования;"ТОО ""Садовый Гиацинт""";ТҚҚ аумағында МАҚ операторы отыратын жердің шатырының су ағары сынғын;БМҚ аға шеберіне ескертілді;False;Тиісті жұмыстар жасалынып суағар қалпына келтірілді;True;True;БМҚ аға шеберіне ескертілді;True;2025-05-26 19:39:00.000
Небезопасное поведение;Магнолиев Тюльпан Азалиевич;СИЗ / Средства по обеспечению безопасности, Работы на высоте / Строительные леса;"ТОО ""Белый Лотос KZ""";Биіктікте жұмыс жасаған кезде сақтандыру белдігін ілмеген;сақтандыру белдігін іліп жұмыс жасау керектігін тапсырма бердім;False;Нет данных;True;True;Бас механик;True;2025-05-05 20:13:00.000
Небезопасное условие ;Лавандов Хризантем Астрович;Поддержание чистоты и порядка;"ТОО ""Ароматный Мирт""";Пожарный выход ПБ-5 заграмажден мусором, что создаёт препятствие выхода людей при НС.;Сообщили ОД, руководству СПО;False;Предупредили компетентные структуры ;True;True;Сообщили ОД, руководству СПО;False;2025-10-13 14:10:00.000
Небезопасное условие ;Азалиев Вербен Вербенович;Перемещение грузов вручную, Монтажные и грузоподъемные работы;"ТОО ""Цветочный Бриз""";Собрать и вывезти б/у шпалы с пути №1;сообщено руководству цеха;True;Нет данных;True;True;мастеру участка Кузнецову В.О.;True;2025-06-17 14:00:00.000
Опасный случай;Камелиев Флорен Лилиевич;Работы на высоте / Строительные леса;"ТОО ""Небесная Камелия""";Арнайы техника пайдаланбады;Нет данных;False;Нет данных;False;False;Нет данных;False;2025-06-25 15:01:00.000
Небезопасное условие ;Магнолиев Фиал Орхидеевич;Электрооборудование;"ТОО ""Степной Шалфей""";Ауа-райының күрт, өзгеріп қар жауып мұз қатуына байланысты ТҚ мұнай қазанына көтеріліп түскен кезде сақ болып қоршаудан ұстауды айттым;Қоршаудан ұстап түсіп, мінуді айттым;True;Жұмысшылармен түсіндірме жұмыстары жүргізіліп оң пікірде болдық.;True;True;Бригада құрамының инженеріне ;True;2025-03-19 15:00:00.000
Хорошая практика;Ирисов Георгин Флорович;Поддержание чистоты и порядка, Охрана окружающей среды;"ТОО ""Грация Гортензии""";Күнделікті тазалықты сақтау ;Ескертіп айтылды;False;Нет данных;True;True;Бөлімше шеберіне;True;2025-01-13 14:00:00.000
Предложение (инициатива);Азалиев Лилий Пионович;Наряд-допуск / Оценка риска;"ТОО ""Пудровая Роза""";Не было;Не было;False;Нет данных;False;False;Никому ;False;2025-04-15 20:46:00.000
Опасный фактор;Маргаритов Тюльпан Пионович;Целостность объекта / Оборудования;"ТОО ""Золотой Подсолнух""";Эст. 79/3 стояк 92 отсутствовал страховочный крючек;Отразил в журнале;False;Нет;True;True;Бригадиру бр. №2 ;True;2025-02-26 05:25:00.000
Небезопасное условие ;Вербенов Георгин Камелиевич;Транспортировка;"ТОО ""Кристальный Ирис""";ТҚ-93 тың ӨҚ-93е дейін жол жоқ;Шеберге айттым;False;Шеберге айттым;True;True;Шеберге;False;2025-03-25 20:00:00.000
Небезопасное условие ;Ирисов Лотос Лилиевич;Опасные вещества/сероводород, Санитарно-бытовые помещения;"ТОО ""Лепесток Удачи""";БӨАжА аспаптарын арнайы бөлмеде, қоймада ұстау;Өндірістік нысандардағы қолданылатын БӨАжА аспаптарын жөндеу және тексеру, сақтау кезінде арнайы қоймаларда сақтау ескертілді;True;БӨАжА аспаптарын арнайы бөлмелерде сақтау жиналу ескертілді;True;True;1-дәрежелі инженерге;True;2025-05-24 21:00:00.000
Небезопасное условие ;Маргаритов Вербен Фиалкович;Вождение;"ТОО ""Рассветная Лаванда""";Нет данных;Нет данных;False;Нет данных;False;False;Нет данных;False;2025-04-16 15:30:00.000
Хорошая практика;Розанов Сакур Розанович;Вождение;"ТОО ""Цветущий Олеандр""";Замечаний нет;проведена беседа с водителем;False;доложил непосредственному руководителю;True;True;непосредственному руководителю;False;2025-04-14 14:05:00.000
Небезопасное действие;Флоров Сакур Гортензиевич;Работы на высоте / Строительные леса, Монтажные и грузоподъемные работы;"ТОО ""Весенний Букет""";Работник МСК работал над монтажом крыльца при въезде в паркинг КЦ. При этом, работник МСК был поднят на высоту ковшем погрузчика.;Остановил работу и разъяснил безопасные методы работы. Сообщил Руководителю АХО.;True;Нет данных;True;True;Сообщил Руководителю АХО.;True;2025-04-15 15:30:00.000
Небезопасное действие;Лилиев Лотос Георгинович;Работы на высоте / Строительные леса, Монтажные и грузоподъемные работы;"ТОО ""Флора Капитал""";Работник МСК работал над монтажом крыльца при въезде в паркинг КЦ. При этом, работник МСК был поднят на высоту ковшем погрузчика.;Остановил работу;True;Нет данных;True;True;Руководителю АХО;True;2025-04-15 15:30:00.000
Небезопасное поведение;Орхидеев Тюльпан Гортензиевич;Вождение, Выполнение требований инструкций;"ТОО ""Бархатный Тюльпан""";Водитель микроавтобуса перед движением не убедился, что все работники пристегнулись. При этом, у самого водителя ремень безопасности был пристегнут и он перекинул через себя ремень безопасности, тем самым нарушил правильное применение ремней безопасности при вождении транспорта.;Остановил водителя и попросил пристегнуться правильно, а также всех пассажиров.;True;Нет данных;True;False;Только водителю.;True;2025-04-15 15:30:00.000
Хорошая практика;Жасминов Астрон Розанович;Выполнение требований инструкций;"ТОО ""Алый Тюльпан""";Содержание весов в исправном состоянии;Произвел уборку на весах;False;нет;True;True;Начальнику УОН;True;2025-03-08 14:00:00.000
Небезопасное поведение;Лилиев Розан Лилиевич;Транспортировка;"ТОО ""Белая Роза""";Жұмыс бағытын қадағалау;Естертіу жүк көтеріу кезінде астында тұрмау;False;Түсіндірме жұмысы жүргізілді;True;True;Зам нач;True;2025-11-04 20:25:00.000
Опасный фактор;Камелиев Азалий Камелиевич;Проскальзывание / Спотыкание / Падение;"ТОО ""Золотая Лилия""";Рядом с маршрутом, по которому сотрудники следуют к базе управления, на обочине асфальтированной дороги обнаружена выступающая металлическая проволока. Она представляет потенциальную опасность — существует риск споткнуться  и получить травму.;Сообщил начальнику УХО;False;Нет данных;True;True;Начальнику УХО Тайкину С.А.;True;2025-04-16 19:44:00.000
Хорошая практика;Маргаритов Нарцисс Мелиссович;Поддержание чистоты и порядка, Охрана окружающей среды, Опасные природные явления / Погодные условия;"ТОО ""Лавандовый Рассвет""";Наблюдение условия труда нв рабочем месте.;Не предпринимал;False;Не предпринимал;False;True;Руководству ;False;2025-11-05 16:46:00.000
Опасный фактор;Камелиев Виолан Лавандович;Проскальзывание / Спотыкание / Падение;"ТОО ""Синяя Орхидея""";Рядом с маршрутом, по которому сотрудники следуют к базе управления, на обочине асфальтированной дороги обнаружена выступающая металлическая проволока. Она представляет потенциальную опасность — существует риск споткнуться и получить травму.;Сообщил начальнику УХО;False;Нет данных;True;True;Начальнику УХО Тайкину С А;True;2025-04-16 20:22:00.000
Опасный фактор;Розанов Тюльпан Ирисович;Целостность объекта / Оборудования;"ТОО ""Пурпурный Ирис""";эст. 79/3 ст. 66 износ веревки;Нет данных;False;сообщил бригадиру бр. №3;True;True;бригадиру  бр. №3;True;2025-03-17 02:10:00.000
Небезопасное условие ;Розанов Гортензий Нарциссович;Проскальзывание / Спотыкание / Падение;"ТОО ""Нежная Фиалка""";наледь на дорожках. Проскальзывание, падения, ушиб.;Посыпал песком;False;Дал указание ст. операторам следить за территорией ;True;True;Начальнику ПСГ;True;2025-03-15 03:00:00.000
Опасный фактор;Маргаритов Астрон Лавандович;Целостность объекта / Оборудования;"ТОО ""Солнечный Подсолнух""";Эст. 79/3 ст. 154 износ бруски наливного стояка;Сообщил бригадиру бр. №5;False;нет;True;True;Сообщил бригадиру бр. №5;True;2025-03-16 15:30:00.000
Хорошая практика;Пионов Гортензий Азалиевич;Выполнение требований инструкций;"ТОО ""Весенний Пион""";Наледь на пешеходных дорожках ;Произвел уборку снега, наледи на закрепленных территориях;False;провел беседу с персоналом УОН;True;True;Начальнику УОН;True;2025-03-13 14:00:00.000
Хорошая практика;Гортензиев Нарцисс Фиалкович;Электрооборудование;"ТОО ""Горная Эдельвейс""";Соблюдал правила ТБ;Похвалил мастера участка;False;На планерке похвалил перед всем коллективом;True;True;Мастеру участка;False;2025-05-09 18:00:00.000
Опасный фактор;Тюльпанов Тюльпан Маргаритович;Электрооборудование;"ТОО ""Дикая Ромашка""";Сделали монтаж заземление электро оборудование;Начальник ЦКНА-4 ;True;Бастығына айтылды;False;True;Начальник ЦКНА-4;True;2025-04-23 21:00:00.000
Хорошая практика;Вербенов Ирис Лилиевич;Поддержание чистоты и порядка;"ТОО ""Серебряный Лотос""";КК-20 кранның астында ағаш қалдықтары шашылып жатыр;№1 ТТУ аға шеберіне хабарланды;False;Жауапты тұлғаға хабарланғаннан кейін ағаш қалдықтары дереу тазартылды;True;True;№1 ТТУ аға шеберіне хабарланды;True;2025-05-29 14:00:00.000
Хорошая практика;Сакуров Ирис Магнолиевич;Знаки безопасности / Предупредительные таблички;"ТОО ""Ясный Василёк""";МЕРА-1 қоңдырғының өндірістік бөлімінде жарық шамын жаңарту керек.;нет;False;нет;False;True;Шеберге айтылды;True;2025-02-18 22:20:00.000
Небезопасное поведение;Азалиев Камелий Лилиевич;Поддержание чистоты и порядка;"ТОО ""Алая Гвоздика""";Мердігер мекеменің жұмысшысы бекітілмеген жерде темекі шегуі.;Ескерту берілді;False;Жақсы ұсыныс айтылды;True;True;Нет данных;True;2025-10-28 15:35:00.000
Небезопасное действие;Розанов Маргарит Пионович;Выполнение требований инструкций, Знаки безопасности / Предупредительные таблички, Вождение;"ТОО ""Сакура Плюс""";"Работники подрядной организации передвигаясь по территории ТОО ""ПКОП"", на велосипеде, проезжали  по проезжей части дороги, а не по велосипедной дорожке.";Остановил и отстранил работников для дальнейшего передвижения на велосипеде , до устранения нарушения.;False;Провел разъяснительную беседу об опасности передвижения на велосипеде.;True;True;"Инженеру по БиОТ, ТОО ""НРМ"".";True;2025-11-05 14:20:00.000
Небезопасное действие;Виолетов Лилий Ирисович;Знаки безопасности / Предупредительные таблички, Взрыво- и пожароопасность, Выполнение требований инструкций;"ТОО ""Южная Магнолия""";Работник подрядной организации при выполнении работ повышенной опасности (огневые работы), использовал сотовое устройство.;Остановил и отстранил работника от проведения работ, до устранения нарушения.;True;Провел разъяснительную беседу об опасности выполняемых работ.;True;True;"Инженеру по БиОТ , ТОО ""НПО Дефектоскопия"".";True;2025-11-05 18:20:00.000
Хорошая практика;Магнолиев Магнолий Тюльпанович;Целостность объекта / Оборудования;"ТОО ""Таёжный Жасмин""";предложение нет;нет;False;.;False;False;опасный случай не было;False;2025-11-05 23:45:00.000
Небезопасное поведение;Нарциссов Жасмин Тюльпанович;Земляные работы, СИЗ / Средства по обеспечению безопасности;"ТОО ""Полевая Незабудка""";Скв жанында оператор қорғаныш каскасын жәнеде қорғаныш көзілдіріксіз жүрді.;Жеке қорғаныс құралдарын кию қажеттігі түсндірілді.;True;Ескерту берілді, нұсқама жүргізілді.;True;True;Шеберге хабарланды.;True;2025-10-06 15:32:00.000
