Тип_наблюдения;ФИО;Категория_наблюдения;Организация;Какие_возможные_последствия_наблюдения_или_преимущества_хорошей_практики_/_вашего_предложения?;Какие_меры_вы_предприняли?;Производилась_ли_остановка_работ?;Какие_действия_вы_предприняли_для_поощрения_хорошей_практики?;Обсудили_ли_вы_небезопасное_действие_/_небезопасное_поведение_с_наблюдаемым?;Сообщили_ли_ответственному_лицу?;Кому_вы_сообщили_о_наблюдении?_(Обязательно_к_заполнению_для_небезопасного_действия/_небезопасного_поведения/опасного_фактора_/_опасного_случая);Было_ли_небезопасное_условие_/_поведение_исправлено_и_опасность_устранена?;Дата_Время
Предложение (инициатива);Лавандов Ирис Сакурович;Санитарно-бытовые помещения, Опасные природные явления / Погодные условия;"ТОО ""Алый Тюльпан""";Предлагаю открыть в каждом цеху зеленый уголок для перерывов и отдыха с установкой медицинского танометра, питьевой воды и аптечки первой помощи. Если у работника будет недомогание, он может измерить свое давление, выпить воды, немного отдохнуть. Если недомогание не проходит, то вызывает медслужбу для осмотра и эвакуации.;дал предложение в ДСПиАО;False;заполнил карту Коргау;False;True;коллегам из социального блока;False;2025-06-10 20:43:00.000
Предложение (инициатива);Гортензиев Азалий Азалиевич;Прочее;"ТОО ""Белая Роза""";Не выявлено;Не выявлено;False;Не выявлено;False;False;Не выявлено;False;2025-06-13 15:20:00.000
Хорошая практика;Георгинов Магнолий Орхидеевич;Транспортировка;"ТОО ""Золотая Лилия""";СБК АО ММГ;СБК АОО ММГ;True;СБК АО ММГ;True;True;СБК АО ММГ;True;2025-06-13 18:15:00.000
Хорошая практика;Камелиев Флорен Лавандович;Вождение, Трубопроводы / Подземные коммуникации, Наряд-допуск / Оценка риска;"ТОО ""Лавандовый Рассвет""";Провел наблюдение предложение нет.;Сообщил начальнику;True;Нет;True;True;Начальник участка ;True;2025-06-06 01:08:00.000
Опасный фактор;Сакуров Азалий Магнолиевич;Машины и оборудование, Поддержание чистоты и порядка;"ТОО ""Синяя Орхидея""";Не убраны ямы от мусора;Нет данных;False;Нет данных;False;False;Нет данных;False;2025-06-03 15:20:00.000
Хорошая практика;Лилиев Лилий Жасминович;Знаки безопасности / Предупредительные таблички;"ТОО ""Пурпурный Ирис""";ПП-0,63 пешінің газ құбырында жүру бағытының сыры кеткен;нет;False;нет;False;True;Шеберге;True;2025-06-18 14:20:00.000
Опасный фактор;Камелиев Виолан Виолетович;Проскальзывание / Спотыкание / Падение;"ТОО ""Нежная Фиалка""";Қауіпсіздікті сақтау;Дереу қондырғы шеберін шақыртып тіреу апорасы қалпына келтірілді.;True;Қондырғы шеберге және ауысым қызметкерлеріне нұсқама жүргізілді.;True;True;Қондырғы шеберге хабарланды.;True;2025-05-29 15:10:00.000
Предложение (инициатива);Ирисов Орхидей Нарциссович;Прочее;"ТОО ""Солнечный Подсолнух""";Нет;Нет;False;Нет;False;False;Нет;False;2025-06-13 15:37:00.000
Хорошая практика;Мелиссов Жасмин Пионович;Транспортировка;"ТОО ""Весенний Пион""";СБК АО ММГ;СБК АО ММГ;True;СБК АО ММГ;True;True;СБК АО ММГ;True;2025-06-13 18:22:00.000
Хорошая практика;Мелиссов Нарцисс Виолетович;Вождение, Трубопроводы / Подземные коммуникации, Наряд-допуск / Оценка риска;"ТОО ""Горная Эдельвейс""";Провел наблюдения,предложения нет;.;False;.;True;True;Начальник участка ;True;2025-06-07 19:03:00.000
Небезопасное действие;Флоров Мелисс Сакурович;Выполнение требований инструкций;"ТОО ""Дикая Ромашка""";Қауіпсіздікті сақтау.;Дереу жұмыс тоқтатылды, операторға газтұтқыш киу талап етілді;True;Операторға түсіндіру жұмыстары нұсқау жүргізілді.;True;True;Цех бастығына хабарланды.;True;2025-05-30 19:21:00.000
